DATE,UNRATE
01/07/2004,5.433333333
01/10/2004,5.433333333
01/01/2005,5.3
01/04/2005,5.1
01/07/2005,4.966666667
01/10/2005,4.966666667
01/01/2006,4.733333333
01/04/2006,4.633333333
01/07/2006,4.633333333
01/10/2006,4.433333333
01/01/2007,4.5
01/04/2007,4.5
01/07/2007,4.666666667
01/10/2007,4.8
01/01/2008,5
01/04/2008,5.333333333
01/07/2008,6
01/10/2008,6.866666667
01/01/2009,8.266666667
01/04/2009,9.3
01/07/2009,9.633333333
01/10/2009,9.933333333
01/01/2010,9.833333333
01/04/2010,9.633333333
01/07/2010,9.466666667
01/10/2010,9.5
01/01/2011,9.033333333
01/04/2011,9.066666667
01/07/2011,9
01/10/2011,8.633333333
01/01/2012,8.266666667
01/04/2012,8.2
01/07/2012,8.033333333
01/10/2012,7.8
01/01/2013,7.733333333
01/04/2013,7.533333333
01/07/2013,7.233333333
01/10/2013,6.933333333
01/01/2014,6.666666667
01/04/2014,6.2
01/07/2014,6.066666667
01/10/2014,5.7
01/01/2015,5.533333333
01/04/2015,5.433333333
01/07/2015,5.1
01/10/2015,5.033333333
01/01/2016,4.9
01/04/2016,4.933333333
01/07/2016,4.9
01/10/2016,4.766666667
01/01/2017,4.566666667
01/04/2017,4.366666667
01/07/2017,4.333333333
01/10/2017,4.166666667
01/01/2018,4.033333333
01/04/2018,3.933333333
01/07/2018,3.766666667
01/10/2018,3.833333333
01/01/2019,3.866666667
01/04/2019,3.633333333
01/07/2019,3.633333333
01/10/2019,3.6
01/01/2020,3.8
01/04/2020,12.96666667
01/07/2020,8.833333333
01/10/2020,6.766666667
01/01/2021,6.2
01/04/2021,5.933333333
01/07/2021,5.133333333
01/10/2021,4.2
01/01/2022,3.8
01/04/2022,3.6
01/07/2022,3.566666667
01/10/2022,3.6
01/01/2023,3.5
01/04/2023,3.566666667
01/07/2023,3.7
01/10/2023,.
